Genome ID	Metagenome ID	Host	Source	Function	Literature Name	Reference	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
SRR23622334.bin.17	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	o__Sphingomonadales (UID3310)	26	569	88.98	2.66	38.46	75.68	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Mesorhizobium;s__Mesorhizobium lusatiense	p__Pseudomonadota	GCF_014201615.1	95	96.15	GCF_014201615.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.18	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	f__Xanthomonadaceae (UID4214)	55	659	88.94	3.97	36.67	69.09	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia bockelmannii	p__Pseudomonadota	GCF_008011855.1	95.51	98.73	GCF_008011855.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.19	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2605)	350	316	80.43	1.68	0	72.03	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis granuli	p__Pseudomonadota	GCF_001591045.1	95	97.94	GCF_001591045.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.22	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	f__Flavobacteriaceae (UID2817)	81	511	66.08	1.33	30.77	59.43	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Moheibacter;s__	p__Bacteroidota	None	None	None	GCA_023461035.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622334.bin.23	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	o__Burkholderiales (UID4000)	193	427	42.86	0.47	0	40.51	Unclassified Archaea	None	None	None	None	None	None	None
SRR23622334.bin.24	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2591)	364	303	96.43	0.25	100	95.18	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	p__Bacteroidota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
SRR23622334.bin.27	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	f__Flavobacteriaceae (UID2817)	81	511	91.89	0.91	9.09	87.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__	p__Pseudomonadota	None	None	None	GCF_027497995.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622334.bin.28	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID2565)	2921	152	100	2.69	0	86.55	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	p__Bacteroidota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
SRR23622334.bin.29	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	f__Comamonadaceae (UID4119)	39	693	51.24	0.85	0	46.99	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter brevis	p__Bacteroidota	GCF_000382425.1	95	99.06	GCF_000382425.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.3	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2605)	350	316	91.38	1.21	75	85.33	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphocola;s__Edaphocola sp001897155	p__Bacteroidota	GCA_001897155.1	95	97.86	GCA_001897155.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.30	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID2569)	434	278	98.92	0	0	98.92	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Diaphorobacter_A;s__	p__Pseudomonadota	None	None	None	GCF_014395975.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622334.bin.31	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2605)	350	316	97.46	0.05	66.67	97.21	Unclassified Bacteria	None	None	None	None	None	None	None
SRR23622334.bin.34	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2605)	350	316	99.05	0	0	99.05	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__;s__	p__Bacteroidota	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
SRR23622334.bin.35	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2591)	364	302	98.76	0.5	0	96.26	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__OLB9;s__	p__Bacteroidota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
SRR23622334.bin.37	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	o__Burkholderiales (UID4000)	193	427	95.56	2.17	28.57	84.71	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__;s__	p__Bacteroidota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
SRR23622334.bin.38	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	o__Cytophagales (UID2936)	47	454	99.11	0.3	0	97.61	Unclassified	None	None	None	None	None	None	None
SRR23622334.bin.41	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	104	62.07	0	0	62.07	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Citrobacter_B;s__Citrobacter_B koseri	p__Pseudomonadota	GCA_900446925.1	95	98.73	GCA_900446925.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.42	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	104	82.4	4.31	100	60.85	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ochrobactrum;s__Ochrobactrum pecoris	p__Pseudomonadota	GCF_006376675.1	95	96.5	GCF_006376675.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.5	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	o__Cytophagales (UID2936)	47	454	97.77	1.04	25	92.57	Unclassified	None	None	None	None	None	None	None
SRR23622334.bin.6	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID2569)	434	278	97.9	0.81	50	93.85	Unclassified	None	None	None	None	None	None	None
SRR23622334.bin.7	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	104	50	0	0	50	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium mizutaii	p__Bacteroidota	GCF_900102835.1	95	98.45	GCF_900102835.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622334.bin.9	SRR23622334	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2591)	364	303	98.52	3.2	18.18	82.52	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter veterisilvae	p__Pseudomonadota	GCF_900496975.1	95	98.02	GCF_900496975.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.12	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Moraxellaceae (UID4680)	86	689	95.2	2.47	30.77	82.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__	p__Bacteroidota	None	None	None	GCA_031260455.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622335.bin.13	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID2569)	434	277	100	0	0	100	Unclassified	None	None	None	None	None	None	None
SRR23622335.bin.15	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	c__Gammaproteobacteria (UID4442)	899	312	95.28	0.95	66.67	90.53	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae	p__Pseudomonadota	GCF_000025565.1	95	98.65	GCF_000025565.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.16	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	103	82.09	5.26	100	55.79	Unclassified Bacteria	None	None	None	None	None	None	None
SRR23622335.bin.2	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	c__Betaproteobacteria (UID3959)	235	419	99.58	0.47	0	97.23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alcaligenes;s__Alcaligenes faecalis	p__Pseudomonadota	GCF_002443155.1	95	97.55	GCF_002443155.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.20	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	c__Alphaproteobacteria (UID3305)	564	349	97.83	0.43	0	95.68	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp002472915	p__Pseudomonadota	GCF_022387135.1	95	97.44	GCF_022387135.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.23	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Flavobacteriaceae (UID2817)	81	511	97.43	0.35	0	95.68	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas tsuruhatensis	p__Pseudomonadota	GCF_001571325.1	95	98.21	GCF_001571325.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.24	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Comamonadaceae (UID4119)	39	693	74.64	0.57	20	71.79	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Serratia;s__Serratia nevei	p__Pseudomonadota	GCF_008364245.1	96.24	97.15	GCF_003812745.1	taxonomic classification defined by topology and ANI	None
SRR23622335.bin.25	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	104	63.79	0	0	63.79	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas maltophilia	p__Pseudomonadota	GCF_900186865.1	95	97.76	GCF_900186865.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.26	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Xanthomonadaceae (UID4214)	55	659	95.48	3.44	88.24	78.28	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella variicola	p__Pseudomonadota	GCF_000828055.2	95	98.93	GCF_000828055.2	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.27	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	104	59.48	3.45	66.67	42.23	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Lysinibacillus;s__Lysinibacillus fusiformis_D	p__Bacillota	GCF_028356935.1	95	99.03	GCF_028356935.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.29	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	c__Alphaproteobacteria (UID3305)	564	349	88.01	2.39	85.71	76.06	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp031277685	p__Bacteroidota	GCA_031277685.1	95	97.35	GCA_031277685.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.30	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	p__Bacteroidetes (UID2605)	350	316	91.34	1.59	25	83.39	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__	p__Actinomycetota	None	None	None	GCA_017744855.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622335.bin.31	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	o__Actinomycetales (UID1593)	69	400	74.8	2.08	42.86	64.4	Unclassified Bacteria	None	None	None	None	None	None	None
SRR23622335.bin.32	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	c__Gammaproteobacteria (UID4442)	899	311	90.67	0.63	66.67	87.52	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Morganella;s__Morganella morganii	p__Pseudomonadota	GCF_019243775.1	95	96.39	GCA_015356505.1	taxonomic classification defined by topology and ANI	None
SRR23622335.bin.34	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Paenibacillaceae (UID971)	46	481	90.45	1.51	0	82.9	d__Bacteria;p__Bacillota;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae;g__Cohnella;s__Cohnella phaseoli	p__Bacillota	GCF_003386235.1	95	98.72	GCF_003386235.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.36	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	103	78.95	0	0	78.95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herminiimonas;s__	p__Pseudomonadota	None	None	None	GCA_000026125.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622335.bin.38	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID203)	5449	104	72.59	3.45	71.43	55.34	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium sp022712315	p__Bacteroidota	GCA_022712315.1	95	96.79	GCA_022712315.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.39	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Comamonadaceae (UID4119)	39	693	88.18	1.81	42.86	79.13	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	p__Pseudomonadota	None	None	None	None	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622335.bin.40	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	o__Pseudomonadales (UID4488)	185	813	99.1	1.79	36.36	90.15	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E palmensis	p__Pseudomonadota	GCF_017848315.1	95	99.05	GCF_017848315.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.41	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Comamonadaceae (UID4119)	39	693	85.4	0.33	66.67	83.75	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas testosteroni_B	p__Pseudomonadota	GCF_000739375.1	95	99.13	GCF_000739375.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.43	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Comamonadaceae (UID4119)	39	693	98.19	2.55	12.5	85.44	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Diaphorobacter_A;s__	p__Pseudomonadota	None	None	None	GCF_014395975.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
SRR23622335.bin.44	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	c__Gammaproteobacteria (UID4442)	899	311	97.85	0.41	100	95.8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Providencia;s__Providencia alcalifaciens	p__Pseudomonadota	GCF_000173415.1	95	99.62	GCF_000173415.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.46	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Flavobacteriaceae (UID2817)	81	511	98.94	0.56	0	96.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium odoratum_A	p__Bacteroidota	GCF_030067755.1	95	98.2	GCF_030067755.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.47	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	k__Bacteria (UID2565)	2921	152	97.85	0	0	97.85	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Empedobacter;s__Empedobacter brevis	p__Bacteroidota	GCF_000382425.1	95	98.45	GCF_000382425.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.48	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	o__Burkholderiales (UID4000)	193	427	82.34	3.4	81.25	65.34	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter insolitus	p__Pseudomonadota	GCF_002209555.1	95	98.72	GCF_002209555.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
SRR23622335.bin.5	SRR23622335	Cetonia aurata	Metagenome MAGs	None	None	None	f__Moraxellaceae (UID4680)	86	689	99.4	3.89	56.52	79.95	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pragensis	p__Pseudomonadota	GCF_001605895.1	95	97.99	GCF_001605895.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
